Disease,Description,Cause,Category,Severity,Disease_Progression,Common_Complications,Clinical_Management
Kidney Disease,Renal impairment,Multiple Factors,Renal,Low,Progressive organ involvement over time,Stroke risk,Medication and lifestyle management
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,High,Gradual progression with chronic manifestations,Sepsis,Supportive care and monitoring
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,High,Gradual progression with chronic manifestations,Neurological complications,Hospitalization may be needed in severe cases
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Low,Progressive organ involvement over time,Neurological complications,Medication and lifestyle management
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Medium,Rapid acute progression if untreated,Neurological complications,Supportive care and monitoring
COVID-19,Respiratory infectious disease,Virus,Respiratory,Critical,Rapid acute progression if untreated,Respiratory failure,Early diagnosis improves prognosis
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,High,Usually self-limited but may worsen in vulnerable patients,Stroke risk,Supportive care and monitoring
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,High,Early mild symptoms progressing to severe complications,Secondary infection,Supportive care and monitoring
COVID-19,Respiratory infectious disease,Virus,Respiratory,Critical,Rapid acute progression if untreated,Neurological complications,Hospitalization may be needed in severe cases
Flu,Viral infection,Virus,Respiratory,High,Rapid acute progression if untreated,Organ damage,Hospitalization may be needed in severe cases
COVID-19,Respiratory infectious disease,Virus,Respiratory,Medium,Gradual progression with chronic manifestations,Secondary infection,Medication and lifestyle management
Kidney Disease,Renal impairment,Multiple Factors,Renal,Low,Progressive organ involvement over time,Stroke risk,Medication and lifestyle management
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,High,Rapid acute progression if untreated,Cardiac complications,Early diagnosis improves prognosis
Flu,Viral infection,Virus,Respiratory,Low,Rapid acute progression if untreated,Secondary infection,Requires periodic follow-up
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Low,Progressive organ involvement over time,Kidney failure,Requires periodic follow-up
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,High,Early mild symptoms progressing to severe complications,Stroke risk,Requires periodic follow-up
COVID-19,Respiratory infectious disease,Virus,Respiratory,Low,Progressive organ involvement over time,Organ damage,Early diagnosis improves prognosis
COVID-19,Respiratory infectious disease,Virus,Respiratory,Low,Gradual progression with chronic manifestations,Kidney failure,Supportive care and monitoring
Dengue,Mosquito-borne viral disease,Virus,Infectious,Critical,Gradual progression with chronic manifestations,Stroke risk,Hospitalization may be needed in severe cases
Flu,Viral infection,Virus,Respiratory,High,Progressive organ involvement over time,Organ damage,Requires periodic follow-up
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Critical,Progressive organ involvement over time,Respiratory failure,Early diagnosis improves prognosis
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Low,Early mild symptoms progressing to severe complications,Stroke risk,Hospitalization may be needed in severe cases
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Critical,Usually self-limited but may worsen in vulnerable patients,Secondary infection,Early diagnosis improves prognosis
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Critical,Progressive organ involvement over time,Kidney failure,Hospitalization may be needed in severe cases
Dengue,Mosquito-borne viral disease,Virus,Infectious,High,Gradual progression with chronic manifestations,Kidney failure,Medication and lifestyle management
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,High,Rapid acute progression if untreated,Respiratory failure,Medication and lifestyle management
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,High,Progressive organ involvement over time,Organ damage,Hospitalization may be needed in severe cases
Dengue,Mosquito-borne viral disease,Virus,Infectious,High,Gradual progression with chronic manifestations,Organ damage,Medication and lifestyle management
Dengue,Mosquito-borne viral disease,Virus,Infectious,Medium,Early mild symptoms progressing to severe complications,Respiratory failure,Early diagnosis improves prognosis
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Medium,Progressive organ involvement over time,Kidney failure,Early diagnosis improves prognosis
Dengue,Mosquito-borne viral disease,Virus,Infectious,Medium,Usually self-limited but may worsen in vulnerable patients,Respiratory failure,Early diagnosis improves prognosis
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Medium,Rapid acute progression if untreated,Neurological complications,Hospitalization may be needed in severe cases
Dengue,Mosquito-borne viral disease,Virus,Infectious,High,Early mild symptoms progressing to severe complications,Respiratory failure,Requires periodic follow-up
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Medium,Progressive organ involvement over time,Secondary infection,Medication and lifestyle management
Flu,Viral infection,Virus,Respiratory,High,Rapid acute progression if untreated,Neurological complications,Early diagnosis improves prognosis
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Medium,Usually self-limited but may worsen in vulnerable patients,Neurological complications,Early diagnosis improves prognosis
COVID-19,Respiratory infectious disease,Virus,Respiratory,Critical,Early mild symptoms progressing to severe complications,Organ damage,Hospitalization may be needed in severe cases
COVID-19,Respiratory infectious disease,Virus,Respiratory,High,Early mild symptoms progressing to severe complications,Cardiac complications,Hospitalization may be needed in severe cases
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Critical,Rapid acute progression if untreated,Sepsis,Early diagnosis improves prognosis
Flu,Viral infection,Virus,Respiratory,Medium,Usually self-limited but may worsen in vulnerable patients,Stroke risk,Early diagnosis improves prognosis
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Low,Early mild symptoms progressing to severe complications,Neurological complications,Supportive care and monitoring
Kidney Disease,Renal impairment,Multiple Factors,Renal,Critical,Gradual progression with chronic manifestations,Neurological complications,Early diagnosis improves prognosis
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Low,Rapid acute progression if untreated,Cardiac complications,Medication and lifestyle management
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,High,Progressive organ involvement over time,Secondary infection,Supportive care and monitoring
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,High,Rapid acute progression if untreated,Kidney failure,Requires periodic follow-up
Kidney Disease,Renal impairment,Multiple Factors,Renal,Low,Gradual progression with chronic manifestations,Neurological complications,Requires periodic follow-up
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,High,Gradual progression with chronic manifestations,Cardiac complications,Requires periodic follow-up
Dengue,Mosquito-borne viral disease,Virus,Infectious,Low,Gradual progression with chronic manifestations,Stroke risk,Early diagnosis improves prognosis
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,High,Early mild symptoms progressing to severe complications,Cardiac complications,Supportive care and monitoring
Flu,Viral infection,Virus,Respiratory,Critical,Rapid acute progression if untreated,Cardiac complications,Medication and lifestyle management
Kidney Disease,Renal impairment,Multiple Factors,Renal,Critical,Usually self-limited but may worsen in vulnerable patients,Organ damage,Medication and lifestyle management
Dengue,Mosquito-borne viral disease,Virus,Infectious,Critical,Rapid acute progression if untreated,Neurological complications,Supportive care and monitoring
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,High,Progressive organ involvement over time,Neurological complications,Medication and lifestyle management
Flu,Viral infection,Virus,Respiratory,Low,Gradual progression with chronic manifestations,Kidney failure,Early diagnosis improves prognosis
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Low,Rapid acute progression if untreated,Cardiac complications,Medication and lifestyle management
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Medium,Early mild symptoms progressing to severe complications,Sepsis,Early diagnosis improves prognosis
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Low,Usually self-limited but may worsen in vulnerable patients,Secondary infection,Hospitalization may be needed in severe cases
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Critical,Rapid acute progression if untreated,Neurological complications,Supportive care and monitoring
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Low,Rapid acute progression if untreated,Organ damage,Hospitalization may be needed in severe cases
Flu,Viral infection,Virus,Respiratory,Medium,Rapid acute progression if untreated,Neurological complications,Medication and lifestyle management
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Medium,Early mild symptoms progressing to severe complications,Kidney failure,Early diagnosis improves prognosis
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,High,Early mild symptoms progressing to severe complications,Kidney failure,Early diagnosis improves prognosis
Kidney Disease,Renal impairment,Multiple Factors,Renal,Low,Usually self-limited but may worsen in vulnerable patients,Stroke risk,Medication and lifestyle management
COVID-19,Respiratory infectious disease,Virus,Respiratory,Medium,Usually self-limited but may worsen in vulnerable patients,Secondary infection,Early diagnosis improves prognosis
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,High,Rapid acute progression if untreated,Sepsis,Hospitalization may be needed in severe cases
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,High,Gradual progression with chronic manifestations,Respiratory failure,Medication and lifestyle management
Kidney Disease,Renal impairment,Multiple Factors,Renal,High,Rapid acute progression if untreated,Neurological complications,Requires periodic follow-up
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Medium,Early mild symptoms progressing to severe complications,Stroke risk,Medication and lifestyle management
Kidney Disease,Renal impairment,Multiple Factors,Renal,Medium,Gradual progression with chronic manifestations,Sepsis,Requires periodic follow-up
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Low,Early mild symptoms progressing to severe complications,Organ damage,Supportive care and monitoring
